,1978,1980,1982,1984,1986,1988
State,Legis Comp.,Legis Comp.,Legis Comp.,Legis Comp.,Legis Comp.,Legis Comp.
Alabama,Dem,Dem,Dem,Dem,Dem,Dem
Alaska,S,S,S,S,S,S
Arizona,Rep,Rep,Rep,Rep,Rep,Rep
Arkansas,Dem,Dem,Dem,Dem,Dem,Dem
California,Dem,Dem,Dem,Dem,Dem,Dem
Colorado,Rep,Rep,Rep,Rep,Rep,Rep
Connecticut,Dem,Dem,Dem,Dem,Dem,Dem
Delaware,Dem,Dem,Dem,Dem,S,S
Florida,Dem,Dem,Dem,Dem,Dem,Dem
Georgia,Dem,Dem,Dem,Dem,Dem,Dem
Hawaii,Dem,Dem,Dem,Dem,Dem,Dem
Idaho,Rep,Rep,Rep,Rep,Rep,Rep
Illinois,Dem,S,Dem,Dem,Dem,Dem
Indiana,Rep,Rep,Rep,Rep,Rep,S
Iowa,Rep,Rep,Dem,Dem,Dem,Dem
Kansas,Rep,Rep,Rep,Rep,Rep,Rep
Kentucky,Dem,Dem,Dem,Dem,Dem,Dem
Louisiana,Dem,Dem,Dem,Dem,Dem,Dem
Maine,S,S,Dem,Dem,Dem,Dem
Maryland,Dem,Dem,Dem,Dem,Dem,Dem
Massachusetts,Dem,Dem,Dem,Dem,Dem,Dem
Michigan,Dem,Dem,Dem,S,S,S
Minnesota,S,S,Dem,S,S,Dem
Mississippi,Dem,Dem,Dem,Dem,Dem,Dem
Missouri,Dem,Dem,Dem,Dem,Dem,Dem
Montana,Dem,Rep,S,S,S,S
Nebraska,NA,NA,NA,NA,NA,NA
Nevada,Dem,Dem,Dem,S,S,S
New Hampshire,S,Rep,Rep,Rep,Rep,Rep
New Jersey,Dem,Dem,Dem,S,S,Dem
New Mexico,Dem,Dem,Dem,S,S,Dem
New York,S,S,S,S,S,S
North Carolina,Dem,Dem,Dem,Dem,Dem,Dem
North Dakota,Rep,Rep,S,Rep,S,S
Ohio,Dem,S,Dem,S,S,S
Oklahoma,Dem,Dem,Dem,Dem,Dem,Dem
Oregon,Dem,Dem,Dem,Dem,Dem,Dem
Pennsylvania,S,Rep,S,S,S,S
Rhode Island,Dem,Dem,Dem,Dem,Dem,Dem
South Carolina,Dem,Dem,Dem,Dem,Dem,Dem
South Dakota,Rep,Rep,Rep,Rep,Rep,Rep
Tennessee,Dem,Dem,Dem,Dem,Dem,Dem
Texas,Dem,Dem,Dem,Dem,Dem,Dem
Utah,Rep,Rep,Rep,Rep,Rep,Rep
Vermont,Rep,Rep,Rep,S,S,S
Virginia,Dem,Dem,Dem,Dem,Dem,Dem
Washington,S,Rep,Dem,Dem,Dem,S
West Virginia,Dem,Dem,Dem,Dem,Dem,Dem
Wisconsin,Dem,Dem,Dem,Dem,Dem,Dem
Wyoming,Rep,Rep,Rep,Rep,Rep,Rep
Key:,Rep,,= Both legislative chambers have Republican majorities,,,
,Dem,,= Both legislative chambers have Democratic majorities,,,
,Split,,= Neither party had majorities in both legislative chambers,,,
= Nebraska is a non-partisan unicameral legislature,,,,,,
